Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4022.0,21.4,4022.0,Urban,4022.0,White,4022.0,0.3009230769230769,0.26584615384615384,0.012307692307692308,0.10615384615384615,0.012923076923076923,0.2036923076923077,6001402200,4022.0,10,"3,250","3,260",307,4022.0,2065,7.2,146,1604,84,277,348,895
4024.0,18.9,4024.0,Urban,4024.0,Black or African American,4024.0,0.24074827165514437,0.40260268401789345,0.009760065067100447,0.1651077673851159,0.0024400162667751117,0.08540056933712892,6001402400,4024.0,13,"2,459","2,472",526,4024.0,2123,8.5,58,1551,98,126,697,630
4025.0,29.9,4025.0,Urban,4025.0,Black or African American,4025.0,0.2064676616915423,0.5099502487562189,0.004477611940298508,0.10199004975124377,0.004975124378109453,0.06716417910447761,6001402500,4025.0,16,"2,010","2,026",790,4025.0,1533,12.6,138,1101,145,245,471,240
4026.0,23.6,4026.0,Urban,4026.0,Asian,4026.0,0.18841761827079934,0.2699836867862969,0.004893964110929853,0.41435562805872755,0.0032626427406199023,0.048939641109298535,6001402600,4026.0,3,"1,226","1,229",244,4026.0,1085,4.4,43,639,104,111,164,260
4027.0,20.6,4027.0,Urban,4027.0,Black or African American,4027.0,0.23864258347016967,0.4099616858237548,0.0071154898741105635,0.10016420361247948,0.009304871373836891,0.1330049261083744,6001402700,4027.0,7,"1,827","1,834",382,4027.0,1714,2.3,56,1332,142,133,334,723
4028.01,13.7,4028.01,Urban,4028.01,Black or African American,4028.01,0.26317579054743284,0.34376062563753823,0.0017001020061203672,0.25773546412784765,0.0006800408024481469,0.045562733764025844,6001402801,4028.01,8,"2,941","2,949",271,4028.01,2811,7.8,17,2128,108,84,368,1568
4028.02,56.6,4028.02,Urban,4028.02,Black or African American,4028.02,0.22711631108052305,0.3971094287680661,0.018582243633860976,0.19408121128699243,0.013764624913971095,0.048864418444597386,6001402802,4028.02,6,"1,453","1,459",411,4028.02,1303,17.0,0,726,109,123,251,243
4029.0,25.3,4029.0,Urban,4029.0,Asian,4029.0,0.3114241001564945,0.1763171622326552,0.009389671361502348,0.3828899321857068,0.0,0.03129890453834116,6001402900,4029.0,1,"1,917","1,918",52,4029.0,1432,5.9,30,851,41,80,166,564
4030.0,30.9,4030.0,Urban,4030.0,Asian,4030.0,0.08613235783172597,0.041237113402061855,0.0029930162953109413,0.8227469238443631,0.002327901563019621,0.014965081476554705,6001403000,4030.0,5,"3,007","3,012",166,4030.0,2698,9.9,75,1376,195,307,243,631
4031.0,15.8,4031.0,Urban,4031.0,Asian,4031.0,0.28875739644970416,0.14319526627218934,0.0017751479289940828,0.4372781065088757,0.004733727810650888,0.040236686390532544,6001403100,4031.0,3,"1,690","1,693",177,4031.0,1945,10.3,55,1464,185,170,193,916
