Plurality Race,Tract Number
White,4515.06
White,4516.01
White,4516.02
White,4517.01
White,4517.03
White,4517.04
White,9819.0
White,9820.0
White,9821.0
White,9832.0
White,100.0
White,1.01
White,1.02
White,2.01
White,2.02
White,3.01
White,3.03
White,3.04
White,4.01
White,4.02
White,5.0
White,1.02
White,1.03
White,1.04
White,2.01
White,2.02
White,3.0
White,4.01
White,4.03
White,4.04
White,5.01
White,5.02
White,6.01
White,6.03
White,6.04
White,7.0
White,8.0
White,9.01
White,9.03
White,9.04
White,10.0
White,11.0
White,12.0
White,13.0
White,14.0
White,15.0
White,16.01
White,16.02
White,17.02
White,17.03
White,17.04
White,18.0
White,19.0
White,20.0
White,21.0
White,22.0
White,23.0
White,24.01
White,24.02
White,25.0
White,26.01
White,26.02
White,27.0
White,28.0
White,29.0
White,30.01
White,30.02
White,31.0
White,32.0
White,33.0
White,34.0
White,35.01
White,35.02
White,36.0
White,37.0
White,1.21
White,1.22
White,1.23
White,1.24
White,2.2
White,2.21
White,2.22
White,3.01
White,3.02
White,4.0
White,5.01
White,5.04
White,5.05
White,5.06
White,1.0
White,2.0
Some Other Race,3.01
Some Other Race,3.02
White,4.0
White,5.0
White,3010.0
White,3020.05
White,3020.06
White,3020.07
Black or African American,3020.09
White,3020.11
White,3020.12
White,3020.13
White,3020.14
White,3031.04
White,3031.05
White,3031.06
White,3031.07
White,3032.02
White,3032.04
White,3032.06
Black or African American,3032.07
White,3032.08
White,3032.09
White,3032.1
White,3032.11
White,3040.01
White,3040.02
White,3040.03
White,3040.04
White,3040.06
White,3040.07
Some Other Race,3050.0
White,3060.02
White,3060.03
White,3060.04
White,3071.01
White,3071.02
Some Other Race,3072.01
Black or African American,3072.02
White,3072.04
White,3072.05
White,3080.01
White,3080.02
Black or African American,3090.0
Some Other Race,3100.0
Some Other Race,3110.0
Black or African American,3120.0
Black or African American,3131.02
White,3131.04
Black or African American,3131.05
White,3131.06
White,3131.07
White,3132.03
Some Other Race,3132.04
Some Other Race,3132.05
Some Other Race,3132.06
Some Other Race,3141.02
Some Other Race,3141.03
Some Other Race,3141.05
Some Other Race,3141.06
Some Other Race,3142.0
White,3150.0
White,3160.0
White,3170.0
White,3180.0
White,3190.01
White,3190.02
White,3200.01
White,3200.03
White,3200.04
White,3211.01
White,3211.02
White,3211.03
White,3212.0
White,3220.0
White,3230.0
White,3240.02
White,3240.03
White,3240.04
White,3250.0
White,3260.0
White,3270.01
White,3270.02
White,3280.0
White,3290.0
White,3300.0
White,3310.0
White,3320.0
White,3331.01
White,3331.02
White,3332.0
White,3340.01
White,3340.06
White,3340.07
White,3340.08
White,3342.0
White,3350.0
Some Other Race,3361.01
Some Other Race,3361.03
Some Other Race,3361.04
Some Other Race,3362.01
Some Other Race,3362.02
White,3371.0
White,3372.01
White,3372.02
White,3373.0
White,3381.01
White,3381.02
White,3382.01
White,3382.03
White,3382.04
White,3383.01
White,3383.02
White,3390.01
White,3390.03
White,3390.04
White,3400.01
White,3400.03
White,3400.04
White,3410.0
White,3430.01
White,3430.02
White,3430.03
White,3451.01
White,3451.02
White,3451.03
White,3451.05
Asian,3451.11
Asian,3451.12
White,3451.13
White,3451.14
Asian,3451.15
White,3451.16
Asian,3451.17
White,3451.18
White,3452.03
White,3452.04
White,3452.05
White,3452.06
White,3461.01
White,3461.02
White,3462.03
White,3462.04
White,3462.05
White,3462.06
White,3470.0
White,3480.0
White,3490.0
White,3500.0
White,3511.01
White,3511.03
White,3511.04
White,3511.05
White,3512.0
White,3521.01
White,3521.02
White,3522.01
White,3522.02
White,3530.01
White,3530.02
White,3540.01
White,3540.02
White,3551.07
White,3551.09
Black or African American,3551.1
White,3551.11
White,3551.12
White,3551.13
Asian,3551.15
Black or African American,3551.18
Black or African American,3551.19
Black or African American,3551.2
Asian,3551.21
Asian,3551.22
Asian,3551.23
Asian,3551.24
Asian,3551.25
Asian,3551.26
Asian,3552.01
Asian,3552.02
White,3553.02
White,3553.06
White,3553.07
White,3553.08
White,3553.09
White,3553.1
Asian,3560.01
White,3560.02
White,3570.0
White,3580.0
Asian,3591.02
White,3591.03
Asian,3591.04
Asian,3591.05
White,3592.02
Asian,3592.03
Asian,3592.04
White,3601.01
White,3601.02
White,3602.0
White,3610.0
White,3620.0
White,3630.0
White,3640.02
Some Other Race,3650.02
Black or African American,3650.03
Some Other Race,3660.01
Some Other Race,3660.02
Black or African American,3671.0
Some Other Race,3672.0
Some Other Race,3680.01
Some Other Race,3680.02
Some Other Race,3690.01
White,3690.02
White,3700.0
Some Other Race,3710.0
Some Other Race,3720.0
Some Other Race,3730.0
Some Other Race,3740.0
Some Other Race,3750.0
Some Other Race,3760.0
Some Other Race,3770.0
White,3780.0
Some Other Race,3790.0
White,3800.01
Black or African American,3800.02
Some Other Race,3810.0
Black or African American,3820.0
White,3830.0
White,3840.0
White,3851.0
White,3852.0
Asian,3860.0
White,3870.0
White,3880.0
White,3891.0
Asian,3892.0
White,3901.0
White,3902.0
White,3910.0
White,3920.0
Asian,3922.01
Some Other Race,3922.02
Asian,3923.0
White,9800.0
White,1.01
White,1.02
White,1.04
White,1.06
White,1.07
White,2.01
White,2.02
White,2.03
White,302.01
White,302.02
White,303.01
White,303.02
White,304.02
White,304.03
White,304.04
White,305.02
White,305.04
White,305.06
White,305.07
White,306.01
White,306.03
White,306.04
White,306.05
White,306.06
White,307.01
White,307.06
White,307.09
White,307.1
White,307.11
White,307.12
White,308.01
White,308.04
White,308.07
White,308.08
White,308.09
White,308.1
White,308.11
White,308.12
White,309.01
White,309.02
White,310.0
White,311.0
White,312.0
White,313.01
White,313.02
White,314.04
White,314.05
White,314.06
White,314.07
White,314.08
White,314.09
White,315.03
White,315.04
White,315.05
White,315.06
White,316.01
White,316.02
White,317.0
White,318.0
White,319.0
White,320.01
White,320.02
Some Other Race,1.0
Some Other Race,2.0
Some Other Race,3.0
Some Other Race,4.0
Some Other Race,5.01
Some Other Race,5.02
Some Other Race,6.01
Some Other Race,6.02
Some Other Race,7.01
Some Other Race,7.02
Some Other Race,9.01
Some Other Race,9.02
Some Other Race,10.0
Some Other Race,11.0
Some Other Race,12.01
Some Other Race,12.02
Some Other Race,13.01
Some Other Race,13.03
Some Other Race,13.04
Some Other Race,14.07
White,14.08
White,14.09
Asian,14.11
White,14.12
Asian,14.13
Some Other Race,14.15
Asian,14.16
Asian,14.17
White,14.18
Some Other Race,15.0
Some Other Race,16.0
