Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
182,2.8,403.05
116,2.4,404
113,7.4,405
244,15.6,406
249,5.2,1011.10
107,9.2,1011.22
340,11.2,1012.20
508,6.5,1012.21
461,10.9,1012.22
151,4.9,1013
125,6.6,1014
43,8.0,1021.03
219,7.5,1021.04
139,6.6,1021.05
258,13.8,1021.07
83,7.3,1031.01
190,9.7,1031.02
313,5.0,1032.01
31,3.3,1032.02
54,6.2,1033
96,7.6,1034.01
141,3.7,1034.02
86,5.0,1041.03
614,9.9,1041.05
488,7.1,1041.08
184,12.8,1041.24
335,4.1,1042.01
849,5.6,1042.03
253,5.8,1042.04
231,5.6,1043.10
251,4.4,1043.21
84,0.8,1043.22
357,4.1,1044.01
202,8.7,1044.03
447,7.6,1044.04
345,3.5,1045
205,1.5,1046.10
267,7.1,1046.20
538,8.4,1047.01
294,1.1,1047.03
560,4.4,1047.04
248,7.1,1048.21
190,6.4,1048.22
349,6.1,1048.23
73,3.4,1048.24
93,3.0,1060.10
451,9.6,1060.20
110,4.6,1061.11
354,2.4,1061.12
98,8.7,1061.13
536,4.4,1061.14
110,2.7,1064.03
691,6.3,1064.05
195,1.8,1064.06
350,8.5,1064.07
276,2.2,1064.08
330,7.1,1065.10
372,2.8,1065.20
72,4.8,1066.03
185,4.0,1066.04
111,6.3,1066.41
257,5.3,1066.42
36,7.2,1066.43
93,6.2,1066.45
143,6.4,1066.46
318,2.5,1066.48
107,3.5,1066.49
147,9.3,1070.10
412,6.9,1070.20
91,5.2,1081.01
130,10.2,1081.02
37,3.7,1081.03
9,2.1,1081.04
44,3.9,1082.02
47,3.8,1082.03
19,3.6,1082.04
63,5.8,1091
17,3.4,1092
115,5.1,1093
113,2.9,1094
499,5.3,1095
85,11.2,1096.01
476,4.9,1096.03
182,7.4,1096.04
280,6.5,1097
102,5.7,1098
149,4.3,1111
136,6.2,1112.01
223,9.6,1112.02
64,4.3,1112.04
106,5.3,1112.05
93,3.4,1112.06
494,3.9,1113.02
254,6.5,1113.03
236,3.4,1113.04
44,2.0,1114.01
863,7.7,1114.02
133,6.3,1131.01
70,5.4,1131.02
169,3.9,1132.11
118,4.6,1132.12
161,1.7,1132.13
99,8.2,1132.31
160,4.8,1132.32
283,7.7,1132.34
119,7.9,1132.35
138,4.8,1132.37
321,1.3,1132.38
114,5.7,1132.39
214,6.9,1133.01
127,5.5,1133.03
198,2.8,1133.22
301,12.1,1133.23
109,2.6,1133.24
181,7.6,1134.23
186,3.0,1134.24
379,6.6,1134.25
163,6.8,1134.26
90,2.9,1134.27
178,11.2,1134.28
282,4.4,1151.01
18,22.0,1151.03
939,5.3,1151.04
646,6.4,1152.02
320,0.0,1152.03
405,6.3,1152.04
183,2.3,1153.01
455,5.9,1153.02
552,4.7,1154.01
474,2.6,1154.03
316,8.7,1154.04
278,5.3,1171.01
168,6.9,1171.02
672,9.1,1172.01
82,16.8,1172.02
71,7.5,1173.01
177,6.3,1173.02
318,3.7,1173.03
237,4.7,1174.04
572,2.7,1174.05
559,10.4,1174.07
392,5.3,1174.08
408,1.9,1175.10
549,8.9,1175.20
586,10.6,1175.30
216,4.5,1190.01
219,7.1,1190.03
65,7.0,1190.04
404,13.6,1192.01
222,3.7,1192.02
291,4.5,1193.10
224,8.2,1193.20
683,7.9,1193.40
189,9.4,1193.41
235,7.7,1193.42
254,3.4,1194
227,3.9,1197
120,2.9,1198.01
473,7.7,1198.02
198,6.6,1199
122,10.1,1200.10
787,12.5,1200.20
350,5.7,1200.30
611,12.3,1201.03
197,7.1,1201.04
258,4.2,1201.05
510,10.4,1201.06
590,10.9,1201.07
597,5.6,1201.08
535,6.6,1203
132,8.8,1204
314,7.1,1210.10
282,8.3,1210.20
217,3.3,1211.01
150,4.6,1211.02
43,3.3,1212.10
122,5.8,1212.21
529,7.3,1212.22
343,7.2,1216
224,9.1,1218.01
490,6.5,1218.02
364,8.0,1219
376,10.1,1220
310,8.2,1221.20
320,3.9,1221.21
395,4.7,1221.22
228,4.3,1222
397,6.5,1224.10
335,5.5,1224.20
428,3.4,1230.10
132,8.1,1230.20
307,8.0,1231.03
458,4.2,1231.04
344,0.4,1232.03
464,12.2,1232.04
474,11.3,1232.05
356,12.4,1232.06
470,4.8,1233.01
362,8.5,1233.03
330,7.3,1233.04
351,7.5,1234.10
452,6.9,1234.20
678,7.1,1235.10
371,11.9,1235.20
466,7.8,1236.01
541,7.2,1236.02
385,3.1,1237
628,5.3,1238
438,3.8,1239.01
317,5.8,1239.02
321,5.3,1240
653,6.1,1241.02
164,4.5,1241.03
244,8.0,1241.04
147,4.5,1241.05
280,7.2,1242.01
174,3.0,1242.03
351,9.3,1242.04
164,3.1,1243
192,5.9,1244
248,2.2,1245
181,5.5,1246
242,7.3,1247
346,10.9,1249.02
338,11.3,1249.03
427,12.1,1251.01
169,2.6,1251.02
232,7.9,1252
549,3.3,1253.10
358,2.8,1253.21
273,7.6,1253.22
390,10.3,1254.02
117,6.2,1254.03
652,5.7,1254.04
379,10.9,1255.01
294,11.7,1255.02
263,6.7,1256
722,8.8,1271.02
56,3.7,1271.03
315,6.4,1271.04
498,7.1,1272.10
476,9.6,1272.20
242,5.7,1273
358,4.6,1274
674,9.0,1275.20
263,8.5,1276.03
356,3.8,1276.04
577,6.0,1276.05
273,2.8,1276.06
319,8.3,1277.11
395,3.6,1277.12
646,6.5,1278.03
322,8.3,1278.04
227,7.1,1278.05
388,7.0,1278.06
556,10.9,1279.10
630,7.3,1279.20
302,8.0,1281.01
547,4.5,1281.02
1029,7.0,1282.10
409,1.4,1282.20
604,4.3,1283.02
945,8.8,1283.03
319,4.2,1284
153,5.1,1285
583,7.6,1286.01
333,8.2,1286.02
173,18.8,1287.03
183,6.2,1287.04
324,8.4,1288.01
175,3.0,1288.02
147,9.1,1289.10
222,4.9,1310.21
242,5.5,1310.22
290,5.2,1310.23
359,7.4,1310.24
168,7.4,1311
140,1.8,1312
252,4.6,1313
212,3.2,1314
336,8.0,1316
553,6.3,1317.01
107,5.5,1317.02
304,7.2,1318.01
11,2.7,1318.02
238,10.0,1319
62,4.8,1320.01
107,2.6,1320.02
485,9.4,1321.01
330,9.9,1321.02
322,1.9,1323.01
113,5.5,1323.02
211,8.1,1325.01
418,18.3,1325.02
380,4.2,1327
96,4.7,1329
558,8.1,1330
63,2.7,1331.01
251,4.7,1331.02
276,4.6,1340.01
219,6.4,1340.02
735,7.3,1341.01
485,5.2,1341.03
443,8.3,1341.04
266,5.6,1342.01
310,4.2,1343.02
183,9.2,1343.03
195,9.3,1343.04
432,2.4,1343.05
200,6.0,1343.06
49,7.9,1344.21
58,6.2,1344.22
137,5.9,1344.23
40,6.4,1344.24
613,7.2,1345.20
318,5.5,1345.21
1041,4.6,1345.22
691,6.5,1347.10
433,6.9,1347.20
268,6.1,1348.01
204,5.6,1348.02
258,5.2,1349.01
381,10.7,1349.04
686,6.7,1349.05
293,5.1,1349.06
750,15.9,1349.07
55,2.6,1351.02
261,4.1,1351.11
109,6.1,1351.13
109,13.7,1351.15
67,28.7,1351.16
178,9.5,1352.01
155,8.9,1352.02
108,8.2,1352.04
103,10.1,1352.05
158,8.4,1370
585,4.9,1371.03
300,4.9,1371.04
217,7.6,1372.02
131,4.9,1372.03
54,3.3,1373.01
119,5.7,1373.02
58,5.2,1374.01
7,9.1,1374.02
493,9.5,1375.01
175,5.1,1375.02
15,3.0,1375.04
126,7.0,1380
127,6.6,1390.01
288,8.0,1392
105,8.4,1393.01
482,6.2,1393.02
495,7.6,1393.03
86,1.4,1394.01
88,4.6,1394.02
114,6.2,1395.02
464,10.6,1395.04
822,13.0,1395.05
222,7.9,1395.06
85,12.4,1396
299,7.1,1397.01
90,4.5,1397.03
3,3.0,1397.04
53,6.1,1397.05
78,5.9,1398.01
105,2.0,1398.02
263,7.6,1411.01
150,8.0,1411.02
280,5.7,1412.01
176,6.4,1412.02
391,6.1,1413.03
182,7.5,1413.04
91,5.6,1413.05
33,17.2,1413.06
133,4.4,1414
44,3.1,1415
162,6.6,1416
66,13.1,1417
91,9.3,1431.01
107,8.0,1431.02
269,6.8,1432
174,3.2,1433.01
204,7.5,1433.02
87,7.5,1434.01
66,1.3,1434.02
333,9.6,1435
510,8.6,1436.02
117,5.5,1436.03
184,6.6,1436.05
108,8.5,1436.06
223,8.0,1437
57,7.6,1438.01
51,5.6,1438.02
65,9.5,1439.01
124,7.8,1439.02
238,3.3,1810
139,6.5,1813
285,8.6,1814
164,0.9,1815
90,8.4,1816
218,2.1,1831.01
313,9.7,1831.03
71,5.6,1831.04
276,6.4,1832.20
310,9.4,1832.21
243,4.7,1832.22
124,6.9,1833
195,4.3,1834.01
266,6.9,1834.02
69,7.5,1835.10
420,9.3,1835.20
455,8.8,1836.10
284,5.1,1836.20
274,8.5,1837.01
200,7.8,1837.02
569,10.1,1838.10
361,7.4,1838.20
118,7.8,1851.01
56,9.7,1851.02
196,4.5,1852.02
428,5.2,1852.03
120,3.8,1852.04
268,8.5,1853.10
494,7.2,1853.20
197,6.5,1861
298,2.8,1862.01
135,5.4,1862.02
111,8.6,1862.03
323,12.1,1863.01
227,8.8,1863.02
296,6.1,1864.01
178,5.6,1864.03
417,14.0,1864.04
122,3.6,1871.01
488,8.5,1871.02
127,6.7,1872
258,8.6,1873
245,2.0,1881
237,7.3,1882.01
100,3.4,1882.02
218,6.5,1883
155,6.4,1891.01
154,8.7,1891.02
384,6.8,1892.01
172,6.9,1892.02
187,6.2,1893
142,7.5,1894
228,12.6,1895.01
328,13.6,1895.02
375,4.6,1896
241,13.0,1897.02
107,1.1,1897.03
88,5.5,1897.04
152,5.8,1898.01
220,13.2,1898.02
210,10.6,1899.03
219,6.8,1899.04
135,1.2,1899.05
424,7.9,1899.06
177,7.6,1899.07
346,17.1,1901.01
186,8.2,1901.02
353,12.3,1902.01
539,6.1,1902.02
524,8.9,1903.02
427,17.6,1903.03
174,9.4,1904.01
331,2.6,1904.02
555,9.0,1905.10
692,9.5,1905.20
305,7.8,1907.01
66,11.7,1907.02
562,21.2,1908.01
520,7.4,1908.02
799,6.2,1909.01
489,4.3,1909.02
434,9.2,1910
839,5.5,1911.10
406,16.0,1911.20
636,7.9,1912.01
361,16.0,1912.03
241,6.3,1912.04
272,2.1,1913.01
176,7.4,1913.02
537,8.4,1914.10
165,5.1,1914.20
580,7.4,1915
575,6.3,1916.10
329,12.1,1916.20
430,7.6,1917.10
392,3.9,1917.20
313,7.7,1918.10
328,6.4,1918.20
309,5.7,1919.01
204,1.8,1919.02
199,7.6,1920.01
175,8.1,1920.02
173,9.1,1923
289,7.1,1924.10
232,3.8,1924.20
339,5.5,1925.10
559,9.2,1925.20
386,8.5,1926.10
399,7.4,1926.20
611,3.5,1927
155,6.9,1941.01
267,6.4,1941.02
85,9.2,1942
130,1.6,1943
143,9.3,1944.01
339,3.3,1944.02
73,7.4,1945
146,6.0,1951
189,3.1,1952.01
136,4.7,1952.02
144,9.6,1953
182,4.4,1954
115,6.5,1955
380,4.4,1956
936,7.4,1957.10
208,5.8,1957.20
202,7.9,1958.02
296,9.4,1958.03
185,3.4,1958.04
263,17.4,1959.01
243,8.8,1959.02
183,4.5,1959.03
161,2.7,1972
231,6.8,1973
166,6.9,1974.10
161,5.1,1974.20
88,5.7,1975
142,5.6,1976
694,4.0,1977
284,7.2,1990.01
277,4.5,1990.02
282,10.9,1991.10
760,12.4,1991.20
422,8.4,1992.01
239,9.9,1992.02
228,9.3,1993
779,14.0,1994
540,3.0,1997
390,8.6,1998.01
221,6.8,1998.02
169,11.9,1999
184,2.2,2011.10
206,11.4,2011.20
157,6.9,2012
514,10.5,2013.01
292,1.6,2013.02
468,4.1,2014.01
430,4.3,2014.02
512,8.8,2015.01
363,5.8,2015.03
191,7.9,2015.04
276,19.9,2016.01
207,12.3,2016.02
484,12.4,2017
468,6.7,2031
658,6.9,2032
188,7.3,2033
429,5.6,2035
274,7.0,2036.01
239,2.1,2036.02
188,4.1,2037.10
363,3.6,2037.20
499,4.9,2038
335,4.7,2039
306,8.8,2041.10
99,8.9,2041.20
680,6.7,2042
411,7.3,2043
304,4.3,2044.10
490,7.0,2044.20
535,11.9,2046
503,9.6,2047
515,7.2,2048.10
140,1.9,2048.20
334,9.1,2049.10
196,7.2,2049.20
365,10.1,2051.10
634,13.8,2051.20
652,13.8,2060.10
59,1.8,2060.20
217,10.1,2060.50
108,4.5,2060.51
390,4.0,2060.52
284,5.9,2060.53
430,5.6,2060.54
611,15.1,2062.01
501,9.4,2062.02
1013,28.0,2063.01
1723,39.1,2063.02
1495,42.7,2063.03
526,6.0,2071.01
381,10.4,2071.02
340,11.2,2071.03
309,4.8,2073.03
949,17.8,2073.04
34,6.8,2073.05
333,7.3,2073.06
615,9.9,2073.07
129,8.5,2073.08
182,12.0,2074
369,6.7,2075.01
118,5.7,2075.02
142,4.5,2077.11
426,3.8,2077.12
394,6.0,2079.01
859,6.8,2079.02
585,6.2,2080.01
671,10.2,2080.02
346,6.0,2083.01
814,6.7,2083.02
625,9.8,2084.01
340,4.5,2084.02
206,5.9,2085.01
460,5.5,2085.02
357,7.8,2086.10
516,7.7,2086.20
273,7.3,2087.10
972,9.9,2087.20
344,1.3,2088.01
354,6.2,2088.02
534,7.6,2089.02
821,6.7,2089.03
906,4.6,2089.04
892,7.0,2091.03
430,4.5,2091.04
908,8.7,2091.05
446,5.1,2091.06
403,0.5,2092.01
192,5.5,2092.02
1177,6.0,2093
672,6.8,2094.01
779,11.0,2094.02
610,9.4,2094.03
557,5.6,2095.10
510,10.5,2095.20
331,12.3,2098.10
488,10.5,2098.20
528,5.2,2100.10
228,6.2,2110
227,10.5,2111.21
586,1.9,2111.22
217,7.6,2111.23
457,9.8,2111.24
293,5.7,2112.01
246,6.3,2112.02
353,6.6,2113.10
489,4.9,2113.20
106,5.0,2114.10
226,5.3,2114.20
249,4.6,2115
116,7.4,2117.01
443,4.3,2117.03
190,3.6,2117.04
754,4.6,2118.02
353,7.2,2118.03
288,12.1,2118.04
362,4.7,2119.10
443,0.0,2119.21
220,10.3,2119.22
326,2.7,2121.01
257,3.0,2121.02
613,6.0,2122.02
469,4.8,2122.03
531,3.9,2122.04
859,5.9,2123.03
243,7.8,2123.04
487,5.5,2123.05
348,6.8,2123.06
371,4.0,2124.10
402,3.0,2124.20
191,2.3,2125.01
221,3.1,2125.02
494,3.2,2126.10
522,6.1,2126.20
124,3.4,2127.01
322,4.4,2127.02
231,4.9,2128
330,5.7,2129
666,2.4,2131
483,10.4,2132.01
430,6.3,2132.02
412,4.8,2133.10
239,1.6,2133.20
601,4.3,2134.01
709,6.1,2134.02
75,8.6,2140
117,4.7,2141
247,11.2,2144
189,4.7,2145.01
352,3.0,2145.03
453,11.7,2145.04
115,4.7,2145.05
115,4.9,2146
111,8.1,2147
220,7.9,2148
49,5.4,2149.02
144,2.7,2149.03
65,0.3,2149.04
255,8.5,2151.01
287,9.5,2151.02
133,3.8,2161
370,1.1,2162.01
128,3.9,2162.02
0,5.8,2163.01
118,2.1,2163.02
235,7.1,2164.01
124,7.3,2164.02
271,3.3,2167
108,3.8,2168
251,4.8,2169.01
214,11.9,2169.02
76,7.5,2170.01
170,2.8,2170.02
141,23.2,2171.01
211,2.6,2171.02
339,4.7,2172
392,10.8,2181.10
527,3.6,2181.20
426,5.7,2182.10
275,5.0,2182.20
588,13.2,2183
293,4.2,2184
296,4.2,2185
248,4.5,2186
175,8.4,2187.01
267,9.3,2187.02
206,5.3,2188
638,5.4,2189
260,6.1,2190.10
678,13.7,2190.20
454,8.4,2193
58,4.6,2195
586,4.2,2197
280,4.2,2198
416,3.6,2199.01
489,6.0,2199.02
660,11.6,2200
221,12.0,2201
611,12.3,2211.10
442,5.4,2211.20
364,4.3,2212.10
269,5.5,2212.20
374,4.0,2213.02
490,8.1,2213.03
314,3.3,2213.04
385,2.0,2214.01
420,15.8,2214.02
607,7.5,2215
496,10.7,2216.01
334,3.3,2216.02
501,13.7,2217.10
1036,10.7,2218.10
1154,30.5,2218.20
1263,16.0,2219
186,9.0,2220.01
504,9.7,2220.02
528,7.3,2221
592,5.8,2222
624,4.3,2225
1468,15.8,2226
155,30.0,2227
584,2.5,2240.10
571,7.4,2240.20
289,3.3,2242
389,4.6,2243.10
594,5.0,2243.20
615,5.0,2244.10
468,16.2,2244.20
462,8.4,2246
462,10.7,2247.01
1123,25.2,2247.02
434,10.5,2260.01
497,8.1,2260.02
683,7.5,2264.10
747,11.7,2264.20
281,3.3,2267.01
895,13.6,2267.02
532,16.1,2270.10
296,8.0,2270.20
512,5.4,2281
663,13.0,2282.10
750,10.5,2282.20
307,6.2,2283.10
384,5.9,2283.20
418,9.7,2284.10
526,7.6,2284.20
935,9.5,2285
784,8.6,2286
617,4.8,2287.10
783,7.6,2287.20
606,8.1,2288
513,22.5,2289
556,5.4,2291
547,6.2,2292
808,11.7,2293
555,2.2,2294.10
557,9.9,2294.20
1247,16.6,2311
807,9.3,2312.10
394,13.8,2312.20
151,3.0,2313.01
147,7.4,2313.02
663,2.4,2314
300,5.0,2315
258,9.8,2316.01
227,3.3,2316.02
353,3.8,2316.03
775,5.9,2317.10
649,8.1,2317.20
1193,8.8,2318
483,8.9,2319.01
711,4.2,2319.02
438,8.3,2321.10
825,7.9,2321.20
360,9.1,2322
550,3.9,2323
420,4.6,2324.01
436,0.7,2324.02
578,5.5,2325
224,0.7,2326.01
887,5.2,2326.02
243,2.8,2327.01
759,4.0,2327.02
729,6.9,2328
172,4.3,2340.01
213,0.0,2340.02
40,3.3,2342
219,4.5,2343.01
312,16.6,2343.02
197,10.7,2345.01
276,13.2,2345.02
522,10.9,2346
462,8.9,2347
108,8.3,2348
712,12.9,2349.01
495,10.2,2349.02
288,13.0,2351
249,1.4,2352.01
554,10.6,2352.02
118,7.3,2360.01
481,15.1,2361.01
373,5.4,2361.02
618,6.2,2362.03
656,9.9,2362.04
680,9.5,2362.05
347,14.3,2362.06
164,5.3,2364
524,2.8,2371.01
581,3.2,2371.02
517,11.1,2372.01
454,9.0,2372.02
431,6.4,2373
671,6.8,2374.01
207,5.9,2374.02
550,5.2,2375
521,15.7,2376
632,11.4,2377.10
779,1.4,2377.20
312,8.8,2378
404,12.2,2379
358,15.2,2380
607,3.8,2381
573,3.8,2382
845,3.2,2383.10
592,6.9,2383.20
354,5.3,2384
436,6.6,2392.01
716,9.8,2392.02
466,9.0,2393.10
504,6.6,2393.20
292,6.2,2393.30
325,8.1,2395.01
401,5.6,2395.02
372,6.4,2396.01
605,7.8,2396.02
746,9.1,2397.01
710,9.7,2397.02
474,12.2,2398.01
798,7.8,2398.02
573,10.4,2400.10
788,10.8,2400.20
864,10.0,2402
695,15.4,2403.01
428,15.3,2403.02
836,5.1,2404.01
448,8.9,2404.02
1185,10.8,2405
745,14.0,2406
522,5.8,2407
690,12.1,2408
262,8.2,2409.01
453,6.1,2409.02
332,5.1,2410.01
337,7.6,2410.02
292,3.2,2411.10
715,7.7,2411.20
446,6.3,2412.01
839,10.5,2412.02
285,6.1,2413
459,4.0,2414
613,13.0,2420
660,19.7,2421
558,7.9,2422.01
561,13.8,2422.02
776,8.9,2423
1014,15.5,2426
1043,3.3,2427
260,10.1,2430.01
244,14.1,2430.02
734,16.6,2431
76,2.5,2611.02
75,7.6,2611.03
52,4.7,2611.04
145,3.8,2612
57,6.0,2621
28,2.6,2622
104,4.9,2623.01
159,3.4,2623.02
58,1.6,2623.03
52,1.7,2624
57,5.6,2625.01
74,4.0,2626.01
58,1.6,2626.04
128,3.0,2627.04
57,1.6,2627.06
44,5.2,2628.02
80,5.2,2640
130,2.3,2641.02
161,6.4,2641.03
246,5.4,2643.03
68,5.2,2643.04
252,2.9,2643.05
162,0.6,2643.06
29,2.1,2651
291,8.8,2652.01
302,4.2,2652.03
359,1.3,2652.04
0,28.1,2653.01
2921,4.3,2653.03
1226,12.1,2653.04
1065,2.8,2653.06
1042,1.5,2653.07
77,2.7,2654.10
101,3.0,2654.20
539,8.3,2655.21
681,1.4,2655.22
192,5.0,2655.23
143,2.3,2655.24
293,1.9,2656.01
307,12.9,2656.02
52,5.7,2657.01
146,10.9,2657.02
242,10.2,2671.01
288,4.6,2671.02
324,5.4,2672.01
225,6.6,2672.02
415,2.1,2673
574,14.9,2674.03
569,6.3,2674.04
171,4.4,2674.05
0,3.4,2674.06
264,5.6,2675.02
162,3.4,2675.03
127,2.7,2675.04
315,2.0,2676
158,1.5,2677
107,1.8,2678
102,6.7,2679.01
127,2.8,2679.02
109,0.9,2690
194,8.3,2691
66,4.9,2693
59,3.1,2695
224,5.6,2696.01
318,7.3,2696.02
228,5.9,2697
94,2.0,2698
279,7.0,2699.03
148,4.7,2699.05
152,1.4,2699.06
156,3.0,2699.07
85,1.2,2699.08
55,9.5,2699.09
114,0.0,2701.01
230,3.3,2701.02
348,3.8,2702
100,2.7,2703
122,8.8,2711
138,1.4,2712
185,1.8,2713
47,3.0,2714
72,3.0,2715
350,2.5,2716
542,4.9,2717.02
188,5.6,2717.03
165,4.9,2717.04
406,4.1,2718.01
205,5.6,2718.03
35,7.8,2718.04
191,2.0,2719.01
211,5.4,2719.02
275,2.7,2721
178,5.8,2722.01
316,5.6,2722.02
216,7.6,2723.01
224,5.5,2723.02
146,4.0,2731
263,9.9,2732
292,8.0,2733
173,6.5,2734.03
76,4.7,2734.04
253,6.1,2735.02
54,3.8,2736
145,6.1,2737
143,3.4,2738
217,9.3,2739.02
418,5.0,2741
173,7.4,2742.02
62,1.8,2751.01
439,3.5,2751.02
280,10.5,2752
260,8.4,2753.11
49,3.7,2753.12
419,2.5,2753.13
122,3.6,2754
818,4.2,2755
65,3.3,2756.03
262,1.7,2756.04
293,9.4,2756.05
174,4.0,2760
259,7.5,2761.01
194,14.3,2761.02
274,5.5,2764
298,9.0,2765
134,6.8,2766.01
36,14.1,2766.05
154,4.9,2766.06
319,4.3,2766.07
163,6.1,2766.08
61,5.0,2770
46,4.3,2771
174,7.9,2772
116,23.3,2774
59,0.4,2780.01
127,4.9,2781.02
468,8.3,2911.10
277,10.1,2911.20
204,6.7,2911.30
393,7.6,2912.10
340,6.4,2912.20
56,3.6,2913
757,8.7,2920.01
100,4.5,2920.02
181,8.8,2932.03
271,7.9,2932.04
365,6.3,2932.05
266,7.9,2932.06
125,1.6,2933.01
274,3.7,2933.02
309,9.4,2933.04
62,6.9,2933.06
269,5.7,2933.07
234,9.9,2941.10
370,6.7,2941.20
285,7.5,2942
67,1.9,2943.01
316,6.0,2943.02
677,15.0,2944.10
256,6.9,2944.21
371,7.8,2945.10
317,9.6,2945.20
324,13.1,2946.10
304,6.6,2946.20
477,5.0,2947.01
444,5.8,2948.10
542,8.6,2948.20
561,4.5,2948.30
405,4.7,2949
108,5.2,2951.03
423,9.5,2962.10
575,4.5,2962.20
254,6.6,2963
80,4.6,2964.01
54,6.2,2964.02
317,7.1,2965
486,11.4,2966
313,6.5,2969.01
364,8.0,2969.02
0,2.9,2970.01
47,4.0,2970.02
798,10.3,2971.10
238,4.8,2971.20
382,2.9,2972.01
209,2.6,2972.02
36,2.6,2973
76,5.4,2974
177,1.6,2975.01
0,2.3,2975.02
50,6.3,2976.01
285,4.7,2976.02
143,5.8,3001
305,5.8,3002
103,0.8,3003.01
173,8.4,3004
52,8.3,3005.01
364,8.4,3005.03
338,2.0,3006.01
88,9.1,3006.02
26,3.8,3007.01
298,5.1,3007.02
457,9.7,3008
14,5.3,3009.01
27,4.4,3009.02
436,7.0,3010
439,4.3,3011
153,10.1,3012.03
287,4.5,3012.04
52,10.3,3012.05
412,10.9,3012.06
24,8.0,3013
39,6.1,3014
39,3.6,3015.01
1042,14.6,3015.02
391,7.2,3016.01
246,9.2,3016.02
38,4.5,3017.01
490,7.5,3017.02
675,7.8,3018.01
419,8.0,3018.02
291,5.5,3019.01
322,17.9,3019.02
749,11.7,3020.02
434,3.3,3020.03
454,5.6,3020.04
140,5.6,3021.02
697,12.3,3021.03
273,7.2,3021.04
515,4.6,3022.01
698,4.4,3022.02
413,9.6,3023.01
492,8.2,3023.02
992,12.6,3024.01
498,13.8,3025.03
440,10.6,3025.04
470,5.8,3025.05
365,6.7,3025.06
250,5.1,3101
201,9.9,3102.01
312,7.3,3102.02
65,6.9,3103
78,5.5,3104
153,6.5,3105.01
605,6.8,3106.01
86,5.5,3106.02
266,8.6,3107.01
250,2.9,3107.03
152,10.3,3107.04
360,1.1,3107.05
480,4.4,3108
153,8.6,3109
218,8.3,3110
376,6.6,3111
177,5.1,3112
160,5.7,3113
41,7.7,3114
220,6.6,3115
64,5.2,3116.01
720,10.7,3116.02
280,6.6,3117
242,1.9,3118.01
196,5.3,3118.02
121,7.5,3201.01
205,4.6,3201.02
282,4.2,3202.01
264,7.5,3202.02
360,3.8,3203
32,3.4,4002.05
70,9.8,4002.06
79,7.1,4002.07
18,0.0,4002.08
54,5.2,4002.09
451,2.0,4003.04
179,9.8,4004.02
166,4.9,4004.03
131,6.5,4004.04
77,9.7,4005.01
289,5.8,4006.02
125,7.2,4006.03
413,5.9,4006.05
171,3.3,4008.01
28,5.1,4010.01
138,3.3,4010.02
270,2.8,4011.01
141,6.1,4011.02
60,3.9,4012.01
200,11.3,4012.02
224,3.5,4012.03
22,2.8,4013.03
109,4.8,4013.04
380,3.4,4013.11
133,6.8,4013.12
427,11.8,4015
211,6.0,4016.01
429,8.4,4016.02
50,2.6,4017.05
191,7.1,4017.06
724,6.5,4017.07
124,4.5,4018.01
83,2.3,4018.02
0,12.1,4019.01
244,7.0,4019.02
99,5.1,4020.01
205,4.7,4020.02
522,11.4,4021.01
514,7.9,4021.02
362,6.8,4022
320,4.1,4023.01
565,8.6,4023.03
514,4.3,4023.04
150,9.1,4024.03
0,30.1,4024.04
237,6.6,4024.05
505,5.6,4024.06
485,5.2,4025.01
583,8.2,4025.03
176,3.7,4025.04
356,3.5,4026.01
213,5.4,4026.02
962,5.8,4027.02
282,4.0,4027.03
105,7.9,4027.05
303,7.4,4027.06
426,4.8,4028.01
253,4.9,4028.03
447,7.2,4028.04
788,5.0,4029.02
339,8.0,4029.03
141,5.1,4029.04
553,4.2,4030
54,3.5,4033.05
247,1.7,4033.16
155,3.2,4033.17
408,6.7,4033.18
170,8.6,4033.19
72,1.6,4033.20
247,9.4,4033.21
108,7.6,4033.23
510,2.1,4033.24
140,1.7,4033.25
95,4.8,4033.26
85,3.2,4033.27
83,4.3,4033.28
290,3.8,4034.01
110,6.6,4034.02
173,4.2,4034.03
104,10.4,4034.04
85,2.9,4034.07
159,2.1,4034.08
296,3.5,4034.09
44,8.1,4035
249,6.0,4036.01
76,1.8,4037.02
301,5.5,4037.03
296,12.1,4037.21
426,7.4,4037.22
515,7.8,4038.01
420,7.4,4038.02
197,5.7,4039.01
250,5.4,4039.02
446,8.5,4040
369,5.1,4041
274,8.1,4042.01
232,5.7,4042.03
480,5.5,4043.01
73,4.6,4043.02
277,5.5,4044.01
256,8.3,4044.02
171,1.0,4045.01
157,7.5,4045.03
555,5.9,4045.04
77,5.3,4046
262,5.3,4047.01
337,5.4,4047.02
258,5.6,4047.03
341,2.7,4048.04
211,4.0,4048.05
330,7.9,4048.06
255,8.3,4049.01
173,6.6,4049.02
92,5.1,4049.03
499,7.1,4050.01
156,6.9,4050.02
429,5.2,4051.01
291,7.8,4051.02
314,7.4,4052.01
402,6.6,4052.02
191,5.8,4052.03
206,7.3,4053.01
239,3.7,4053.02
87,3.9,4054
271,4.2,4055
179,1.7,4056
24,6.7,4057.01
241,6.1,4057.02
172,5.3,4058
121,7.3,4059
147,6.9,4060
