"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H2_001N"," !!Total:"
"H2_001NA","Annotation of  !!Total:"
"H2_002N"," !!Total:!!Urban"
"H2_002NA","Annotation of  !!Total:!!Urban"
"H2_003N"," !!Total:!!Rural"
"H2_003NA","Annotation of  !!Total:!!Rural"
"H2_004N"," !!Total:!!Not defined for this file"
"H2_004NA","Annotation of  !!Total:!!Not defined for this file"
